scene_id,book,chapter_index,chapter_heading,scene_index_in_chapter,word_count,source_file,source_hash,opening_line,closing_line,pov_candidate,story_time_candidate,explicit_time_markers,location_candidate,present_characters_candidate,scene_goal_candidate,opposition_candidate,turn_candidate,outcome_candidate,major_events_candidate,knowledge_gained_candidate,belief_changes_candidate,relationship_changes_candidate,objects_transferred_candidate,promises_introduced_candidate,promises_advanced_candidate,promises_paid_off_candidate,review_status,notes
B03-C14-S05,Book 3,14,Chapter 14,5,895,series/books/book-3/phase-8-editing/MANUSCRIPT.md,d6fb9e349de3ccba1ac0c43ef9b36383934702e0467ca0a4163ae82caf3177a4,"""Citizens of Snowfall Creek.""","""They're here to burn it all.""",Margot Vance,Immediately after Sterling's defeat and public broadcast,,Mayor's office overlooking Snowfall Creek town square,Margot Vance; Jonah Harrow; Aleksei Petrov; Henderson; Arthur Sterling; Pack; Trolls; townspeople; Magisterium forces,"Tell the town the truth, free the bound supernatural factions, and keep Jonah alive.",Jonah's catastrophic blood loss and the sudden arrival of Magisterium assault forces.,The apparent victory becomes an occupation crisis when Magisterium carriers and Chinooks enter the square.,"The town accepts the truth and briefly unites, but the Magisterium arrives to sanitize the site.",Margot publicly reveals the original Treaty; the bindings break; humans and monsters celebrate; Margot declares love to Jonah; Magisterium forces arrive.,The town learns the official peace was built on betrayal and that the original Treaty was a partnership.,Margot moves from Keeper of hidden history to public revolutionary witness.,Margot explicitly tells Jonah she loves him; Jonah corrects her from 'you changed the world' to 'we changed it.',Microphone used for the broadcast; Scroll case remains with Margot; Sterling remains in resistance custody.,The Magisterium as the deeper institutional antagonist.,"Public truth, liberation, and Jonah's survival threads escalate sharply.",The hidden-Treaty reveal and supernatural liberation promise are paid off.,source-reconciled-v1.1,Restored from parser scene B03-C14-S05 and checked directly against the Phase 8 manuscript.
B03-C15-S01,Book 3,15,Chapter 15,1,520,series/books/book-3/phase-8-editing/MANUSCRIPT.md,f97ce5b789722d3b432f1cdf095371fa9f170bc685a29a828fcfe15d03ec8e4d,**Shared POV (Jonah / Margot)**,"""I hate being meat,"" the Vampire wheezed.",Jonah Harrow,,,Snowfall Creek streets after raid,Jonah Harrow; Margot Vance; resistance allies,Regroup after the raid and determine who escaped with evidence.,"Casualties, scattered allies, missing couriers, active pursuit.",They confirm that at least one evidence package got through.,The conspiracy can no longer fully contain the truth.,Aftermath assessment; courier status checked; evidence transmission confirmed.,Jonah learns the dissemination plan partially succeeded.,He sees the conflict shifting from local containment to wider exposure.,Jonah and Margot function as joint resistance leaders.,Surviving evidence copy remains outside Sterling's control.,External response will now arrive.,Treaty dissemination and institutional reckoning.,Evidence-upload promise receives a major partial payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C15-S02,Book 3,15,Chapter 15,2,316,series/books/book-3/phase-8-editing/MANUSCRIPT.md,4695905dbfacac81fd21d0084ac750a762b01bf3c5575ad14217b0a653819d47,**Margot**,"""Not the roof,"" Jonah said. ""We came in from the top. We go out the top.""",Jonah Harrow,,,Temporary resistance position,Jonah Harrow; Margot Vance; allies,Interrogate the leak or identify compromised communications.,"Mistrust, incomplete information, danger of false accusation.",Evidence points toward a Council-linked informer or magical tracker.,The resistance narrows the source of compromise.,Communications reviewed; route timing compared; suspect or tracking method identified.,Jonah learns how Sterling located the safehouse.,He distinguishes betrayal by a person from technical or magical surveillance.,Margot and Jonah negotiate suspicion without turning on each other.,Tracking charm or compromised device may be isolated.,Remove the surveillance source and exploit it against Sterling.,Leak and counterintelligence threads.,The raid's cause receives a partial explanation.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C15-S03,Book 3,15,Chapter 15,3,708,series/books/book-3/phase-8-editing/MANUSCRIPT.md,aef452e37eee155ba54d0375e3f2ba5f6adc74e5a58b0ceb682947d9fe46eb19,**Shared POV**,"""Lead the way, Keeper,"" he whispered.",Jonah Harrow,,,Resistance position / communications point,Jonah Harrow; Margot Vance; external contact,Establish contact with outside authority or supernatural allies.,"Jamming, credibility concerns, Sterling's official narrative.",An external recipient confirms receipt of Treaty evidence.,The conflict gains a wider jurisdiction and Sterling loses total narrative control.,Secure contact established; evidence authenticity discussed; response promised.,The protagonists learn outside parties now possess corroborating evidence.,Margot regains faith that documentation can still matter when distributed.,Shared relief briefly softens the crisis.,Digital or physical evidence confirmed outside town.,External intervention or investigation is coming.,Public-accountability and institutional-reckoning threads.,Treaty dissemination receives an external-confirmation payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C15-S04,Book 3,15,Chapter 15,4,400,series/books/book-3/phase-8-editing/MANUSCRIPT.md,6924afd3adb3a256dd0a94569e457596150083ff26b79afe890bb13ce9f22174,**Margot**,"""Show us.""",Jonah Harrow,,,Snowfall Creek resistance position,Jonah Harrow; Margot Vance; allies,Choose the next offensive objective before Sterling responds.,"Time pressure, injuries, divided town, anticipated retaliation.",They decide to target the Council's command center or rescue detainees.,The protagonists move from exposure to active liberation strategy.,Strategic debate; objective selected; teams assigned.,They identify where Sterling's control is most vulnerable.,Jonah fully embraces rebellion against the system he once served.,Jonah and Margot's shared purpose becomes openly revolutionary.,Weapons and evidence copies allocated.,Direct assault or rescue operation.,Political uprising and antagonist-confrontation threads.,None.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C15-S05,Book 3,15,Chapter 15,5,643,series/books/book-3/phase-8-editing/MANUSCRIPT.md,72a910523220bbf89155b3e00e14ebb869b9dc56beab12ffa89e5947a5b9b742,**Shared POV**,"""If the Magisterium wants a war,"" the Librarian said, ""I'm going to give them a history lesson.""",Shared POV,During the first hours of Magisterium occupation,,School pump room / improvised resistance shelter,Margot Vance; Jonah Harrow; Aleksei Petrov; Henderson,Stabilize Jonah and decide how to resist the occupation.,"Silver-laced wound, no access to Pack blood, curfew, detention and incineration threat.",Margot converts guilt and fear into a plan for communications sabotage and organized resistance.,Jonah is temporarily stabilized; Margot commits the group to guerrilla resistance.,Henderson seals Jonah's wound with industrial bio-foam and staples; radio traffic reveals screening and detention; Margot orders resistance organization.,The group learns the Magisterium is sorting captives for labs or incineration and that normal curfew release will not occur.,Margot stops seeing herself as merely a librarian preserving history and accepts command responsibility.,Margot's protectiveness toward Jonah and her command authority over the team both deepen.,Bio-foam and staple gun used on Jonah; Scroll case remains strapped to Margot.,Break the jamming field and send the truth outside Snowfall Creek.,The resistance-war thread formally begins.,None.,source-reconciled-v1.1,Restored from parser scene B03-C15-S05 and checked directly against the Phase 8 manuscript.
B03-C16-S01,Book 3,16,Chapter 16,1,552,series/books/book-3/phase-8-editing/MANUSCRIPT.md,506c0d632abdc99e0685e1205b3ca194c8c3d15a393bed5cc65b44726b8004a9,**Jonah**,How did they stand it?,Margot Vance,,,Resistance staging area in Snowfall Creek,Margot Vance; Jonah Harrow; resistance allies,Prepare the first coordinated offensive against Sterling's control network.,"Limited manpower, divided loyalties, injuries, and surveillance.",Margot reframes the operation around rescuing detainees and seizing records rather than simple retaliation.,The resistance adopts a focused liberation objective.,Operational briefing; targets identified; teams assigned; evidence priorities set.,The resistance learns where detainees and administrative records are likely being held.,Margot sees that preservation now requires active intervention.,Jonah and Margot operate as complementary co-commanders.,"Weapons, maps, and copied evidence are distributed.",Rescue detainees and seize records without losing the wider evidence network.,Liberation and institutional-exposure threads.,The active-liberation promise moves into execution.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C16-S02,Book 3,16,Chapter 16,2,404,series/books/book-3/phase-8-editing/MANUSCRIPT.md,2cfe8d606e93fa20beca0089dfbae4560c34092cad1f85445e3fc1dbf7c57708,"""How long?"" Jonah asked.",Margot stepped inside.,Margot Vance,,years ago,Council-controlled detention facility,Margot Vance; Jonah Harrow; resistance team; detainees; guards,Enter the detention site and locate supernatural prisoners.,"Magical locks, armed guards, alarms, and time pressure.",Margot identifies archival or ward logic that bypasses the primary security layer.,The team gains access to the detention wing.,Infiltration; ward analysis; security bypass; detainees located.,Margot learns detainees include people listed in the disappearance ledger.,The conspiracy's continuity from record to living victim becomes undeniable.,Jonah follows Margot's expertise inside institutional space.,"Keys, access tokens, or ward permissions change hands.",Free the detainees and preserve their testimony.,Disappearance-ledger and rescue threads.,The ledger receives living corroboration.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C16-S03,Book 3,16,Chapter 16,3,474,series/books/book-3/phase-8-editing/MANUSCRIPT.md,a52d37310827dd079171f34f203486ca87327b733d5db1d1471ffc2a122a5fd0,She resembled a war zone.,He might not be the Alpha right now. But he was still the Sheriff.,Margot Vance,,,Detention wing,Margot Vance; Jonah Harrow; detainees; guards,Release prisoners before reinforcements arrive.,"Injured detainees, failing wards, armed response.",A detainee identifies Sterling or Kael as directly involved in transfers.,The rescue becomes direct testimony against the antagonists.,Cells opened; prisoners extracted; testimony given; alarms escalate.,The protagonists gain eyewitness evidence linking Sterling's network to disappearances.,Jonah's rebellion becomes morally irreversible.,The pair are recognized by survivors as protectors and leaders.,Prison records and detainee files are seized.,Protect witnesses long enough for testimony to spread.,Institutional reckoning and public-proof threads.,The disappearance mystery receives a major evidentiary payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C16-S04,Book 3,16,Chapter 16,4,450,series/books/book-3/phase-8-editing/MANUSCRIPT.md,1163b3ee5fada79b98e9e72319055748c9f60600a80520eee681b98a2fee9399,"""Here,"" Jonah tapped the Ski Resort. ""The Emitter is here. Main Lodge roof. It requires line-of-sight and massive power.""",*That's my mate.*,Margot Vance,,,Detention facility exit,Margot Vance; Jonah Harrow; detainees; resistance team; hostile reinforcements,Evacuate prisoners and records.,"Closing perimeter, magical suppression, wounded civilians.",Jonah chooses to hold the line while Margot leads the evacuation.,"The detainees escape, but Jonah is cut off or placed at greater risk.",Evacuation; rear-guard defense; convoy or foot escape; Jonah remains behind briefly.,Margot learns Jonah will sacrifice position and safety to protect the rescued group.,She rejects leaving him behind as an acceptable cost.,Leadership roles split under pressure but remain emotionally interdependent.,Records and testimony move with evacuees.,Margot must recover Jonah or prevent his capture.,Rescue operation and relationship-protection threads.,Detainee extraction succeeds.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C16-S05,Book 3,16,Chapter 16,5,395,series/books/book-3/phase-8-editing/MANUSCRIPT.md,b13d33444a63412d0019a019cc23c55aba34c211a5ea0d6686e3559a19642842,The prep was fast. They didn't have time for speeches.,He waited.,Jonah Harrow,Minutes before the Emitter sabotage mission,,School pump room / resistance base,Jonah Harrow; Margot Vance; Aleksei Petrov; Henderson,Prepare Margot's sabotage team and protect the Treaty while Jonah remains behind.,"Jonah's incapacitating injuries, limited time before shift change, and risk of capture.",Margot leaves the original Scroll with Jonah and takes his service pistol.,The sabotage team departs; Jonah waits alone with the Scroll and radio.,Henderson gathers improvised chemical explosives; Margot transfers the Scroll to Jonah; Jonah gives Margot his pistol; they exchange a desperate kiss.,Jonah understands the Scroll is safer with him than on the strike team; Margot learns how to operate his pistol.,Both accept that the separation may be fatal but choose the mission anyway.,"Mutual trust becomes operational: each entrusts the other with something central, the Treaty and personal survival.",Original Scroll case transfers from Margot to Jonah; Jonah's service pistol transfers to Margot.,Jonah must survive alone and protect the Scroll.,Emitter sabotage and relationship-protection threads advance.,None.,source-reconciled-v1.1,Restored from parser scene B03-C16-S05 and checked directly against the Phase 8 manuscript.
